date,name
2019-10-10,watashi
2019-10-11,blackfox
2019-10-12,nullpeta
2019-10-12,zxcodereunion
2019-10-13,houkagosaikoroclub
2019-10-14,blackfox
2019-10-15,azurlane
2019-10-18,kandagawa
2019-10-19,tenkahyakkenmeijikaneyoukoso
2019-10-19,nullpeta
2019-10-19,miniyuri
2019-10-19,miniyuri
2019-10-20,kandagawa
2019-10-21,azurlane
2019-10-22,zxcodereunion
2019-10-23,nullpeta
2019-10-23,azurlane
2019-10-24,watashi
2019-10-25,soranomethod
2019-10-26,rifleisbeautiful
2019-10-27,miniyuri
2019-10-27,rifleisbeautiful
2019-10-28,zxcodereunion
2019-10-29,soranomethod
2019-10-30,houkagosaikoroclub
2019-10-31,houkagosaikoroclub
2019-11-01,kandagawa
2019-11-02,blackfox
2019-11-02,tenkahyakkenmeijikaneyoukoso
2019-11-03,azurlane
2019-11-04,azurlane
2019-11-05,blackfox
2019-11-06,zxcodereunion
2019-11-07,nullpeta
2019-11-07,tenkahyakkenmeijikaneyoukoso
2019-11-07,houkagosaikoroclub
2019-11-08,nullpeta
2019-11-08,watashi
2019-11-09,kandagawa
2019-11-10,nullpeta
2019-11-10,zxcodereunion
2019-11-11,watashi
2019-11-12,houkagosaikoroclub
2019-11-13,kandagawa
2019-11-14,rifleisbeautiful
2019-11-15,watashi
2019-11-16,zxcodereunion
2019-11-17,tenkahyakkenmeijikaneyoukoso
2019-11-17,azurlane
2019-11-18,tenkahyakkenmeijikaneyoukoso
2019-11-18,houkagosaikoroclub
2019-11-19,watashi
2019-11-20,rifleisbeautiful
2019-11-21,houkagosaikoroclub
2019-11-22,rifleisbeautiful
2019-11-23,watashi
2019-11-25,rifleisbeautiful
2019-11-26,azurlane
2019-11-27,watashi
2019-11-28,zxcodereunion
2019-11-29,houkagosaikoroclub
2019-12-04,rifleisbeautiful
2019-12-05,watashi
2019-12-06,rifleisbeautiful
2019-12-07,tenkahyakkenmeijikaneyoukoso
2019-12-07,nullpeta
2019-12-07,nullpeta
2019-12-08,nullpeta
2019-12-08,houkagosaikoroclub
2019-12-09,kandagawa
2019-12-10,tenkahyakkenmeijikaneyoukoso
2019-12-10,tenkahyakkenmeijikaneyoukoso
2019-12-10,azurlane
2019-12-11,kandagawa
2019-12-12,nullpeta
2019-12-12,watashi
2019-12-13,rifleisbeautiful
2019-12-14,houkagosaikoroclub
2019-12-15,zxcodereunion
2019-12-16,kandagawa
2019-12-17,azurlane
2019-12-18,houkagosaikoroclub
2019-12-19,nullpeta
2019-12-19,azurlane
2019-12-20,rifleisbeautiful
2019-12-21,watashi
2019-12-22,zxcodereunion
2019-12-23,tenkahyakkenmeijikaneyoukoso
2019-12-23,kandagawa
2019-12-24,kandagawa
2019-12-25,nullpeta
2019-12-25,rifleisbeautiful
2019-12-26,watashi
2019-12-27,tenkahyakkenmeijikaneyoukoso
2019-12-27,kandagawa
2019-12-28,zxcodereunion
2019-12-30,kandagawa
2020-01-03,tenkahyakkenmeijikaneyoukoso
2020-01-03,houkagosaikoroclub
2020-01-08,rifleisbeautiful
2020-01-10,tenkahyakkenmeijikaneyoukoso
2020-01-10,kandagawa
2020-01-11,zxcodereunion
